t  par1   acc
-4170 0.394735 0.179
-4169 0.394891 0.191
-4168 0.395037 0.184
-4167 0.395156 0.18
-4166 0.395248 0.183
-4165 0.39542 0.189
-4164 0.395605 0.206
-4163 0.395718 0.195
-4162 0.395879 0.198
-4161 0.395972 0.188
-4160 0.396087 0.185
-4159 0.396275 0.183
-4158 0.396445 0.2
-4157 0.39659 0.187
-4156 0.396738 0.205
-4155 0.396853 0.186
-4154 0.397003 0.182
-4153 0.397158 0.183
-4152 0.397345 0.211
-4151 0.397425 0.187
-4150 0.39752 0.186
-4149 0.397601 0.203
-4148 0.397719 0.206
-4147 0.397849 0.189
-4146 0.397915 0.203
-4145 0.398081 0.188
-4144 0.398252 0.186
-4143 0.398353 0.191
-4142 0.398512 0.163
-4141 0.398661 0.19
-4140 0.398789 0.189
-4139 0.398977 0.202
-4138 0.39916 0.2
-4137 0.399312 0.178
-4136 0.399484 0.203
-4135 0.399557 0.172
-4134 0.399751 0.202
-4133 0.399906 0.177
-4132 0.400094 0.21
-4131 0.400219 0.199
-4130 0.400365 0.179
-4129 0.400508 0.172
-4128 0.400622 0.181
-4127 0.400714 0.175
-4126 0.400815 0.172
-4125 0.400965 0.192
-4124 0.401153 0.174
-4123 0.401254 0.19
-4122 0.401394 0.201
-4121 0.401535 0.223
-4120 0.401662 0.18
-4119 0.401741 0.198
-4118 0.401879 0.187
-4117 0.402012 0.195
-4116 0.40215 0.178
-4115 0.402266 0.18
-4114 0.402355 0.18
-4113 0.402468 0.182
-4112 0.402599 0.189
-4111 0.40267 0.198
-4110 0.40275 0.177
-4109 0.40296 0.205
-4108 0.403053 0.164
-4107 0.40312 0.192
-4106 0.403208 0.182
-4105 0.40336 0.18
-4104 0.403482 0.203
-4103 0.403672 0.206
-4102 0.403815 0.216
-4101 0.403873 0.185
-4100 0.404012 0.202
-4099 0.404114 0.205
-4098 0.404226 0.169
-4097 0.404367 0.179
-4096 0.404444 0.197
-4095 0.404553 0.195
-4094 0.404644 0.191
-4093 0.404789 0.178
-4092 0.404918 0.192
-4091 0.404988 0.18
-4090 0.405103 0.183
-4089 0.405181 0.169
-4088 0.40533 0.198
-4087 0.405464 0.195
-4086 0.405571 0.188
-4085 0.405749 0.186
-4084 0.405846 0.176
-4083 0.405936 0.198
-4082 0.406097 0.195
-4081 0.406154 0.183
-4080 0.406286 0.175
-4079 0.406411 0.188
-4078 0.4065 0.185
-4077 0.406606 0.191
-4076 0.40669 0.174
-4075 0.406799 0.191
-4074 0.406883 0.175
-4073 0.407073 0.192
-4072 0.407212 0.196
-4071 0.407316 0.194
-4070 0.407419 0.196
-4069 0.407566 0.166
-4068 0.407686 0.177
-4067 0.407826 0.201
-4066 0.407946 0.198
-4065 0.408043 0.182
-4064 0.408164 0.194
-4063 0.408284 0.185
-4062 0.408398 0.183
-4061 0.408534 0.189
-4060 0.408641 0.199
-4059 0.408717 0.201
-4058 0.408811 0.183
-4057 0.40889 0.168
-4056 0.408991 0.163
-4055 0.409098 0.174
-4054 0.409205 0.177
-4053 0.409279 0.184
-4052 0.409409 0.186
-4051 0.409531 0.177
-4050 0.409641 0.163
-4049 0.409807 0.191
-4048 0.409914 0.164
-4047 0.410037 0.189
-4046 0.410181 0.2
-4045 0.410289 0.18
-4044 0.410403 0.183
-4043 0.410528 0.18
-4042 0.410653 0.188
-4041 0.410748 0.186
-4040 0.410871 0.171
-4039 0.410909 0.169
-4038 0.411025 0.168
-4037 0.411104 0.201
-4036 0.411197 0.183
-4035 0.411351 0.195
-4034 0.411527 0.188
-4033 0.411615 0.174
-4032 0.411678 0.192
-4031 0.411783 0.188
-4030 0.411841 0.186
-4029 0.411952 0.186
-4028 0.412036 0.188
-4027 0.412119 0.176
-4026 0.412169 0.182
-4025 0.412312 0.191
-4024 0.412352 0.164
-4023 0.412426 0.181
-4022 0.412518 0.17
-4021 0.41259 0.176
-4020 0.412644 0.174
-4019 0.412708 0.195
-4018 0.412862 0.195
-4017 0.412977 0.166
-4016 0.413098 0.198
-4015 0.413167 0.181
-4014 0.413243 0.168
-4013 0.413365 0.195
-4012 0.413518 0.204
-4011 0.413623 0.173
-4010 0.413736 0.188
-4009 0.413852 0.177
-4008 0.413958 0.207
-4007 0.414003 0.162
-4006 0.414103 0.194
-4005 0.414243 0.207
-4004 0.414372 0.169
-4003 0.414479 0.175
-4002 0.414576 0.173
-4001 0.414696 0.186
-4000 0.414744 0.173
-3999 0.414822 0.186
-3998 0.414977 0.191
-3997 0.415031 0.202
-3996 0.415138 0.188
-3995 0.415232 0.163
-3994 0.415314 0.184
-3993 0.415423 0.205
-3992 0.415503 0.181
-3991 0.415628 0.196
-3990 0.415754 0.188
-3989 0.415864 0.183
-3988 0.416018 0.161
-3987 0.416127 0.192
-3986 0.416246 0.181
-3985 0.416342 0.184
-3984 0.416454 0.174
-3983 0.416586 0.187
-3982 0.416692 0.187
-3981 0.416844 0.206
-3980 0.417008 0.174
-3979 0.41715 0.198
-3978 0.417297 0.196
-3977 0.417392 0.18
-3976 0.417565 0.192
-3975 0.41766 0.178
-3974 0.417782 0.195
-3973 0.417921 0.184
-3972 0.418001 0.169
-3971 0.418055 0.161
-3970 0.418142 0.191
-3969 0.418286 0.186
-3968 0.418407 0.188
-3967 0.418505 0.18
-3966 0.41859 0.165
-3965 0.418653 0.164
-3964 0.418738 0.178
-3963 0.418876 0.178
-3962 0.418999 0.176
-3961 0.419051 0.17
-3960 0.419155 0.172
-3959 0.419304 0.185
-3958 0.419465 0.152
-3957 0.419564 0.175
-3956 0.419662 0.185
-3955 0.419729 0.18
-3954 0.419897 0.19
-3953 0.419974 0.179
-3952 0.420082 0.18
-3951 0.420187 0.178
-3950 0.420295 0.171
-3949 0.420339 0.181
-3948 0.420485 0.19
-3947 0.420584 0.177
-3946 0.420707 0.182
-3945 0.420794 0.174
-3944 0.420931 0.177
-3943 0.421083 0.176
-3942 0.421219 0.175
-3941 0.421285 0.181
-3940 0.421403 0.183
-3939 0.42146 0.173
-3938 0.421607 0.182
-3937 0.421686 0.184
-3936 0.421823 0.18
-3935 0.421946 0.166
-3934 0.422007 0.17
-3933 0.422121 0.191
-3932 0.422201 0.184
-3931 0.422261 0.169
-3930 0.422371 0.18
-3929 0.422472 0.184
